chr	start	stop
MITF	chr3	69788586	70017488
FOXP1	chr3	71003844	71633140
GPR27	chr3	71803201	71805647
RYBP	chr3	72420976	72496069
PPP4R2	chr3	73045936	73118350
PDZRN3	chr3	73431584	73674091
ROBO2	chr3	75955846	77699115
ROBO1	chr3	78646390	79816965
GBE1	chr3	81538850	81811312
CADM2	chr3	85008132	86123579
CHMP2B	chr3	87276421	87304698
CGGBP1	chr3	88101094	88199035
C3orf38	chr3	88198893	88217879
PROS1	chr3	93591881	93692910
ARL13B	chr3	93698983	93774512
MTRNR2L12	chr3	96335981	96337000
CRYBG3	chr3	97595819	97663810
MINA	chr3	97660662	97691301
CLDND1	chr3	98216756	98241910
ST3GAL6	chr3	98451080	98540045
DCBLD2	chr3	98514785	98620533
CMSS1	chr3	99536678	99897447
FILIP1L	chr3	99548985	99833357
TBC1D23	chr3	99979844	100044095
NIT2	chr3	100053545	100075710
TOMM70A	chr3	100082275	100120242
TFG	chr3	100428205	100467810
IMPG2	chr3	100941390	101039404
SENP7	chr3	101043049	101232085
TRMT10C	chr3	101280706	101285290
PCNP	chr3	101292939	101313281
ZBTB11	chr3	101367733	101396339
RPL24	chr3	101399935	101405626
NFKBIZ	chr3	101546835	101579866
ALCAM	chr3	105085753	105295744
CBLB	chr3	105374305	105588396
BBX	chr3	107241783	107530171
CD47	chr3	107762145	107809872
IFT57	chr3	107879659	107941417
DZIP3	chr3	108308529	108413693
ABHD10	chr3	111697857	111712210
TAGLN3	chr3	111717511	111732734
ATG3	chr3	112251356	112280893
CCDC80	chr3	112323407	112368377
C3orf17	chr3	112721287	112738708
BOC	chr3	112929850	113006303
SPICE1	chr3	113161565	113234034
NAA50	chr3	113435307	113465147
ATP6V1A	chr3	113465866	113530903
RP11-553L6.5	chr3	114033348	114035026
ZBTB20	chr3	114056941	114866118
GAP43	chr3	115342171	115440337
LSAMP	chr3	115521235	117716095
IGSF11	chr3	118619404	118864915
B4GALT4	chr3	118930579	118959950
ARHGAP31	chr3	119013220	119139561
POGLUT1	chr3	119187785	119213555
TIMMDC1	chr3	119217379	119243937
COX17	chr3	119373360	119396301
GSK3B	chr3	119540170	119813264
LRRC58	chr3	120043356	120068186
FSTL1	chr3	120111140	120170100
NDUFB4	chr3	120315156	120321347
STXBP5L	chr3	120626919	121143608
HCLS1	chr3	121350246	121379774
GOLGB1	chr3	121382046	121468602
IQCB1	chr3	121488610	121553926
CD86	chr3	121774213	121839983
CSTA	chr3	122044091	122060819
CCDC58	chr3	122078438	122102078
FAM162A	chr3	122103023	122131181
KPNA1	chr3	122140796	122233792
PARP9	chr3	122246771	122283424
DTX3L	chr3	122283085	122294050
PARP14	chr3	122399465	122449687
SEC22A	chr3	122920774	122992977
CCDC14	chr3	123616152	123680564
UMPS	chr3	124449213	124464040
ITGB5	chr3	124480795	124620265
HEG1	chr3	124684554	124774802
ZNF148	chr3	124944405	125094198
SNX4	chr3	125165495	125239041
OSBPL11	chr3	125247702	125313934
SLC41A3	chr3	125725198	125820404
ALDH1L1	chr3	125822412	125916837
KLF15	chr3	126061478	126076285
ZXDC	chr3	126156444	126194762
CHCHD6	chr3	126423063	126679249
PODXL2	chr3	127348024	127391652
ABTB1	chr3	127391778	127399768
MGLL	chr3	127407909	127542051
SEC61A1	chr3	127770484	127790526
RUVBL1	chr3	127783621	127872757
EEFSEC	chr3	127872297	128127485
RPN1	chr3	128338817	128399918
RAB7A	chr3	128444965	128533639
ISY1	chr3	128846258	128880136
CNBP	chr3	128888327	128902765
COPG1	chr3	128968449	128996614
HMCES	chr3	128997671	129025029
H1FX	chr3	129033615	129035120
MBD4	chr3	129149787	129158878
RHO	chr3	129247483	129254012
PLXND1	chr3	129274018	129325661
TMCC1	chr3	129366635	129612419
ATP2C1	chr3	130569439	130735556
NUDT16	chr3	131100515	131107674
MRPL3	chr3	131181056	131221827
DNAJC13	chr3	132136370	132257876
NPHP3	chr3	132276986	132441303
UBA5	chr3	132373290	132396941
TMEM108	chr3	132757235	133116636
CDV3	chr3	133292574	133309105
TOPBP1	chr3	133317019	133380737
TF	chr3	133464800	133497850
SRPRB	chr3	133502877	133544616
RYK	chr3	133784147	133969689
ANAPC13	chr3	134196548	134205558
CEP63	chr3	134204585	134293859
EPHB1	chr3	134316643	134979309
MSL2	chr3	135867764	135916083
PCCB	chr3	135969148	136056738
STAG1	chr3	136055077	136471220
NCK1	chr3	136581050	136668665
ARMC8	chr3	137906109	138017231
MRAS	chr3	138066539	138124375
CEP70	chr3	138213186	138313380
FAIM	chr3	138327448	138352218
PIK3CB	chr3	138372860	138553780
MRPS22	chr3	138724648	139076065
COPB2	chr3	139074442	139108574
RBP1	chr3	139236276	139258671
SLC25A36	chr3	140660672	140698775
ZBTB38	chr3	141043055	141168634
RASA2	chr3	141205889	141334184
RNF7	chr3	141457046	141466402
ATP1B3	chr3	141594966	141645356
TFDP2	chr3	141663277	141868386
XRN1	chr3	142025449	142166904
ATR	chr3	142168077	142297668
U2SURP	chr3	142683339	142779567
SLC9A9	chr3	142984064	143567373
PLOD2	chr3	145787227	145881440
PLSCR4	chr3	145910126	145968966
PLSCR1	chr3	146232967	146262651
ZIC1	chr3	147111209	147228080
GYG1	chr3	148709128	148745419
HLTF	chr3	148747914	148804341
HPS3	chr3	148847371	148891519
TM4SF1	chr3	149086809	149095652
WWTR1	chr3	149235022	149454501
COMMD2	chr3	149456257	149470286
RNF13	chr3	149530495	149679926
PFN2	chr3	149682691	149768575
TSC22D2	chr3	150126122	150184218
SERP1	chr3	150259781	150321015
EIF2A	chr3	150264465	150302029
SELT	chr3	150320662	150348222
SIAH2	chr3	150458914	150481264
P2RY13	chr3	151044100	151047336
P2RY12	chr3	151055168	151102600
MBNL1	chr3	151961617	152183569
RAP2B	chr3	152880029	152886265
DHX36	chr3	153990335	154042286
SLC33A1	chr3	155538813	155572218
GMPS	chr3	155588325	155661815
SSR3	chr3	156257929	156272973
TIPARP	chr3	156391024	156424559
CCNL1	chr3	156864297	156878549
RSRC1	chr3	157823644	158263519
MLF1	chr3	158288952	158325041
GFM1	chr3	158362067	158410364
MFSD1	chr3	158449987	158547508
SMC4	chr3	160117062	160152750
KPNA4	chr3	160212783	160283376
PPM1L	chr3	160473390	160796695
B3GALNT1	chr3	160801671	160823172
NMD3	chr3	160822484	160971320
BCHE	chr3	165490692	165555260
PDCD10	chr3	167401086	167452727
GOLIM4	chr3	167726465	167813763
MECOM	chr3	168801287	169381406
MYNN	chr3	169490619	169507504
SEC62	chr3	169684423	169716161
PHC3	chr3	169804520	169899537
SKIL	chr3	170075466	170114623
RPL22L1	chr3	170582664	170588272
TNIK	chr3	170779128	171178197
FNDC3B	chr3	171757418	172119455
TNFSF10	chr3	172223298	172241297
NLGN1	chr3	173114074	174004434
NAALADL2	chr3	174156363	175523428
TBL1XR1	chr3	176737143	176915261
ZMAT3	chr3	178735011	178790067
PIK3CA	chr3	178865902	178957881
ZNF639	chr3	179040779	179053323
MFN1	chr3	179065480	179112719
GNB4	chr3	179116990	179169378
ACTL6A	chr3	179280668	179306196
MRPL47	chr3	179306073	179322442
NDUFB5	chr3	179322478	179345435
PEX5L	chr3	179512746	179754841
TTC14	chr3	180319918	180335616
FXR1	chr3	180585929	180700541
DNAJC19	chr3	180701497	180707562
SOX2-OT	chr3	180707558	181554668
SOX2	chr3	181429714	181432221
ATP11B	chr3	182511288	182639423
DCUN1D1	chr3	182655862	182703741
MCCC1	chr3	182733006	182833863
MCF2L2	chr3	182895831	183146566
B3GNT5	chr3	182971032	183016292
KLHL6	chr3	183205319	183273477
KLHL24	chr3	183353356	183402265
YEATS2	chr3	183415606	183530413
PARL	chr3	183547173	183602721
ABCC5	chr3	183637722	183735803
EIF2B5	chr3	183852826	184402546
DVL3	chr3	183873176	183891398
AP2M1	chr3	183892477	183901879
ABCF3	chr3	183903811	183911800
ALG3	chr3	183960089	183967336
PSMD2	chr3	184016497	184026842
EIF4G1	chr3	184032283	184053146
POLR2H	chr3	184079506	184086384
MAGEF1	chr3	184428156	184429836
VPS8	chr3	184529931	184770402
C3orf70	chr3	184795838	184870802
MAP3K13	chr3	185000729	185206885
TMEM41A	chr3	185194284	185216845
SENP2	chr3	185300284	185351339
IGF2BP2	chr3	185361527	185542844
TRA2B	chr3	185633694	185655924
ETV5	chr3	185764097	185828107
DGKG	chr3	185823457	186080026
DNAJB11	chr3	186285192	186315061
EIF4A2	chr3	186500994	186507689
RFC4	chr3	186507669	186524847
ST6GAL1	chr3	186648274	186796341
RPL39L	chr3	186838736	186898696
BCL6	chr3	187439165	187463515
LPP	chr3	187871072	188608460
IL1RAP	chr3	190231840	190375843
CCDC50	chr3	191046866	191116459
FGF12	chr3	191857184	192485553
HRASLS	chr3	192958914	192995527
OPA1	chr3	193310933	193415612
HES1	chr3	193853934	193856521
ATP13A3	chr3	194123401	194219093
LSG1	chr3	194361517	194393206
ACAP2	chr3	194995465	195163807
PPP1R2	chr3	195241221	195270209
APOD	chr3	195295573	195311076
LINC00969	chr3	195384933	195460422
TNK2	chr3	195590235	195638816
TFRC	chr3	195754054	195809060
PCYT1A	chr3	195941093	196014828
TCTEX1D2	chr3	196018090	196045170
UBXN7	chr3	196074533	196159345
RNF168	chr3	196195654	196230639
NRROS	chr3	196366557	196388875
PIGX	chr3	196366646	196462878
PAK2	chr3	196466728	196559518
SENP5	chr3	196594727	196661585
NCBP2	chr3	196662273	196669468
NCBP2-AS2	chr3	196669494	196670411
DLG1	chr3	196769431	197026171
FYTTD1	chr3	197464050	197514467
LRCH3	chr3	197518097	197615307
IQCG	chr3	197615946	197687013
RPL35A	chr3	197676858	197683481
ZNF141	chr4	331603	378653
ZNF721	chr4	419604	492945
PIGG	chr4	492989	533985
ATP5I	chr4	666225	668127
GAK	chr4	843064	926161
TMEM175	chr4	926175	952444
CTBP1	chr4	1205236	1243741
MAEA	chr4	1283639	1333935
SLBP	chr4	1694527	1714282
LETM1	chr4	1813206	1857974
WHSC1	chr4	1873151	1983934
NELFA	chr4	1984441	2043630
C4orf48	chr4	2043689	2045697
MXD4	chr4	2249159	2264021
RNF4	chr4	2463947	2627047
FAM193A	chr4	2626988	2734292
TNIP2	chr4	2743375	2758103
SH3BP2	chr4	2794750	2842825
ADD1	chr4	2845584	2931803
MFSD10	chr4	2932288	2936586
HTT	chr4	3076408	3245676
RGS12	chr4	3294755	3441640
LRPAP1	chr4	3508103	3534286
TMEM128	chr4	4237269	4249950
LYAR	chr4	4269428	4291896
NSG1	chr4	4349867	4420785
STX18	chr4	4417469	4544073
MSX1	chr4	4861393	4865663
CYTL1	chr4	5016313	5021199
CRMP1	chr4	5749811	5894785
MRFAP1	chr4	6641818	6644472
MRFAP1L1	chr4	6709428	6711607
BLOC1S4	chr4	6717842	6719387
KIAA0232	chr4	6783102	6885897
TBC1D14	chr4	6910969	7034845
GRPEL1	chr4	7060633	7069924
AFAP1	chr4	7760441	7941653
SH3TC1	chr4	8183799	8243530
WDR1	chr4	10075963	10118573
HS3ST1	chr4	11394774	11431389
RAB28	chr4	13362978	13485989
BOD1L1	chr4	13570362	13629347
CPEB2	chr4	15004298	15071777
CC2D2A	chr4	15471489	15603180
FBXL5	chr4	15606162	15683302
FAM200B	chr4	15683285	15707188
PROM1	chr4	15964699	16086001
TAPT1	chr4	16162128	16229033
TAPT1-AS1	chr4	16228286	16321763
QDPR	chr4	17461884	17513857
LAP3	chr4	17578815	17609595
MED28	chr4	17616254	17635728
DCAF16	chr4	17802278	17812381
LCORL	chr4	17842822	18023499
SLIT2	chr4	20254883	20622184
KCNIP4	chr4	20730239	21950422
DHX15	chr4	24519064	24586173
ANAPC4	chr4	25378835	25420120
SEL1L3	chr4	25749055	25865382
SMIM20	chr4	25863452	25931435
RBPJ	chr4	26165077	26436541
STIM2	chr4	26859300	27027003
PCDH7	chr4	30722037	31148422
ARAP2	chr4	35949843	36246131
RELL1	chr4	37592422	37687998
PGM2	chr4	37828255	37864558
TBC1D1	chr4	37892708	38140796
KLF3	chr4	38665817	38702663
TLR10	chr4	38773860	38784611
TLR1	chr4	38792298	38858438
FAM114A1	chr4	38869298	38947360
TMEM156	chr4	38968365	39034542
KLHL5	chr4	39046659	39128477
RFC1	chr4	39289076	39367995
RPL9	chr4	39455744	39460568
LIAS	chr4	39460620	39479273
UGDH	chr4	39500375	39529931
SMIM14	chr4	39547950	39640710
UBE2K	chr4	39699664	39784412
PDS5A	chr4	39824483	39979576
N4BP2	chr4	40058446	40159872
RHOH	chr4	40192673	40248587
RBM47	chr4	40425272	40632892
APBB2	chr4	40812044	41218731
UCHL1	chr4	41258430	41270472
LIMCH1	chr4	41361624	41702061
TMEM33	chr4	41937137	41962589
SLC30A9	chr4	41992489	42092474
ATP8A1	chr4	42410390	42659122
GNPDA2	chr4	44684217	44728612
COMMD8	chr4	47452885	47465736
ATP10D	chr4	47487305	47595503
SLAIN2	chr4	48343339	48428229
FRYL	chr4	48499378	48782339
OCIAD1	chr4	48807229	48863834
OCIAD2	chr4	48887036	48908954
DCUN1D4	chr4	52709166	52783003
SGCB	chr4	52886872	52904648
USP46	chr4	53457138	53525502
SCFD2	chr4	53739149	54232242
FIP1L1	chr4	54243810	55161439
LNX1	chr4	54325468	54567572
CHIC2	chr4	54875956	54930857
PDGFRA	chr4	55095264	55164414
RP11-231C18.1	chr4	55199059	55222121
SRD5A3	chr4	56212276	56239263
TMEM165	chr4	56262124	56319564
CLOCK	chr4	56294070	56413305
NMU	chr4	56461396	56502865
EXOC1	chr4	56719782	56771200
CEP135	chr4	56815037	56899529
AASDH	chr4	57204456	57253666
PPAT	chr4	57259528	57301781
PAICS	chr4	57301907	57327534
SRP72	chr4	57333081	57369839
HOPX	chr4	57514155	57548065
REST	chr4	57774075	57802010
NOA1	chr4	57829536	57844989
POLR2B	chr4	57843888	57897334
IGFBP7	chr4	57896939	57976551
LPHN3	chr4	62066976	62944053
CENPC	chr4	68337521	68411324
UBA6	chr4	68478370	68566897
YTHDC1	chr4	69176105	69215807
UTP3	chr4	71554196	71556267
RUFY3	chr4	71569921	71673032
GRSF1	chr4	71681499	71705662
MOB1B	chr4	71768043	71888166
DCK	chr4	71858255	71896631
ANKRD17	chr4	73939093	74124515
IL8	chr4	74606223	74609433
CXCL3	chr4	74902306	74904524
CXCL2	chr4	74962752	74965010
MTHFD2L	chr4	74979891	75168816
AREG	chr4	75310851	75320726
RCHY1	chr4	76404247	76439974
THAP6	chr4	76439156	76475683
G3BP2	chr4	76567966	76649709
USO1	chr4	76649777	76735382
NAAA	chr4	76831809	76862204
SDAD1	chr4	76862103	76912115
NUP54	chr4	77035812	77069668
SCARB2	chr4	77079890	77135046
SEPT11	chr4	77870856	77961537
CCNI	chr4	77968311	77997158
CCNG2	chr4	78078304	78354542
CNOT6L	chr4	78634541	78740769
MRPL1	chr4	78783674	78873944
BMP2K	chr4	79697496	79837526
LINC01088	chr4	79892902	80229952
RASGEF1B	chr4	82347547	82965397
HNRNPD	chr4	83273651	83295656
HNRNPDL	chr4	83343717	83351294
ENOPH1	chr4	83351715	83382244
SCD5	chr4	83550692	83720010
SEC31A	chr4	83739814	83822319
THAP9-AS1	chr4	83814162	83822113
COPS4	chr4	83955600	83996971
PLAC8	chr4	84011201	84058228
COQ2	chr4	84182689	84206067
HPSE	chr4	84213614	84256306
MRPS18C	chr4	84377085	84390888
WDFY3	chr4	85590704	85887544
ARHGAP24	chr4	86396267	86923823
MAPK10	chr4	86936276	87515284
PTPN13	chr4	87515468	87736324
AFF1	chr4	87856154	88062206
KLHL8	chr4	88081255	88161466
HSD17B11	chr4	88257762	88312538
NUDT9	chr4	88343734	88380606
SPARCL1	chr4	88394487	88452213
IBSP	chr4	88720733	88733074
SPP1	chr4	88896819	88904562
PKD2	chr4	88928820	88998929
PPM1K	chr4	89178772	89205921
HERC5	chr4	89378268	89427314
PYURF	chr4	89442136	89444964
HERC3	chr4	89442199	89629693
NAP1L5	chr4	89617066	89619386
FAM13A	chr4	89647106	90032549
GPRIN3	chr4	90157537	90229161
SNCA	chr4	90645250	90759466
CCSER1	chr4	91048686	92523064
GRID2	chr4	93225550	94695707
SMARCAD1	chr4	95128762	95212443
HPGDS	chr4	95219686	95264027
PDLIM5	chr4	95373037	95589377
BMPR1B	chr4	95679119	96079599
RAP1GDS1	chr4	99182535	99365012
TSPAN5	chr4	99391518	99579780
EIF4E	chr4	99792835	99851788
METAP1	chr4	99916771	99983964
ADH5	chr4	99992132	100009952
LAMTOR3	chr4	100799493	100815647
DNAJB14	chr4	100817405	100867883
H2AFZ	chr4	100869243	100871545
PPP3CA	chr4	101944566	102269435
NFKB1	chr4	103422486	103538459
MANBA	chr4	103552660	103682151
UBE2D3	chr4	103715540	103790053
CISD2	chr4	103790135	103810399
BDH2	chr4	104000592	104021040
CXXC4	chr4	105389469	105416058
TET2	chr4	106067032	106200973
PPA2	chr4	106290234	106395238
INTS12	chr4	106603784	106817143
TBCK	chr4	106962756	107242652
AIMP1	chr4	107236701	107270383
PAPSS1	chr4	108511433	108641608
HADH	chr4	108910870	108956331
RPL34	chr4	109541722	109551568
OSTC	chr4	109571740	109588976
SEC24B	chr4	110354928	110462052
CCDC109B	chr4	110481361	110609874
PLA2G12A	chr4	110631145	110651233
CFI	chr4	110661852	110723335
GAR1	chr4	110736666	110745893
ALPK1	chr4	113206665	113363776
LARP7	chr4	113558120	113578748
ANK2	chr4	113739265	114304896
CAMK2D	chr4	114372188	114683083
UGT8	chr4	115519611	115599380
SNHG8	chr4	119199864	119200978
SEC24D	chr4	119643978	119759838
USP53	chr4	120133742	120216672
C4orf3	chr4	120218207	120225600
ANXA5	chr4	122589110	122618268
EXOSC9	chr4	122722472	122738176
KIAA1109	chr4	123073488	123283913
FGF2	chr4	123747863	123819391
SPRY1	chr4	124317950	124324910
INTU	chr4	128544426	128647892
HSPA4L	chr4	128702976	128761888
PGRMC2	chr4	129190397	129209984
SCLT1	chr4	129786076	130014764
PCDH10	chr4	134070470	134129356
ELF2	chr4	139949266	140098372
NDUFC1	chr4	140188034	140223705
NAA15	chr4	140222609	140341187
RP11-83A24.2	chr4	140333081	140375188
SETD7	chr4	140417095	140527853
MGST2	chr4	140586922	140661899
MAML3	chr4	140637907	141075338
SCOC	chr4	141178440	141306880
ELMOD2	chr4	141445312	141474924
TBC1D9	chr4	141541919	141677274
RNF150	chr4	141780961	142134031
ZNF330	chr4	142142041	142155851
USP38	chr4	144106070	144144983
GAB1	chr4	144257915	144395721
SMARCA5	chr4	144434616	144478639
ANAPC10	chr4	145888264	146019693
ABCE1	chr4	146019084	146050331
OTUD4	chr4	146031990	146101313
SMAD1	chr4	146402346	146479231
ZNF827	chr4	146678779	146859787
LSM6	chr4	147096837	147121152
DCLK2	chr4	150999426	151178609
LRBA	chr4	151185594	151936879
RPS3A	chr4	152020725	152025804
SH3D19	chr4	152023903	152246784
FBXW7	chr4	153242410	153457253
ARFIP1	chr4	153701089	153839615
TRIM2	chr4	154073494	154260472
TLR2	chr4	154622652	154626851
PLRG1	chr4	155456158	155471587
MAP9	chr4	156263810	156298122
CTSO	chr4	156845270	156875069
GRIA2	chr4	158125334	158287227
FAM198B	chr4	159045626	159094470
PPID	chr4	159630286	159644548
FNIP2	chr4	159690290	159829201
RAPGEF2	chr4	160025330	160281321
FSTL5	chr4	162305049	163085187
NAF1	chr4	164031225	164088073
TMA16	chr4	164415594	164441691
MARCH1	chr4	164445450	165305202
TMEM192	chr4	165995574	166129701
MSMO1	chr4	166248775	166264312
CPE	chr4	166282346	166419472
DDX60	chr4	169137444	169239958
DDX60L	chr4	169277886	169458937
PALLD	chr4	169418217	169849608
CBR4	chr4	169784921	169931426
NEK1	chr4	170314426	170533780
CLCN3	chr4	170533784	170644824
C4orf27	chr4	170650616	170679104
GALNT7	chr4	174089904	174245118
HMGB2	chr4	174252846	174256276
SAP30	chr4	174291120	174298683
SCRG1	chr4	174305852	174327531
CEP44	chr4	175204828	175254531
GPM6A	chr4	176554085	176923815
WDR17	chr4	176986985	177103978
SPCS3	chr4	177241115	177253396
TENM3	chr4	183065140	183724177
DCTD	chr4	183811213	183839089
WWC2	chr4	184020446	184241930
CDKN2AIP	chr4	184365744	184369351
ING2	chr4	184426147	184432249
RWDD4	chr4	184560788	184580378
TRAPPC11	chr4	184580420	184634745
IRF2	chr4	185308867	185395734
CASP3	chr4	185548850	185570663
PRIMPOL	chr4	185570767	185616117
ACSL1	chr4	185676749	185747972
SLC25A4	chr4	186064395	186071536
KIAA1430	chr4	186080819	186130658
ANKRD37	chr4	186317175	186321782
UFSP2	chr4	186320694	186347139
PDLIM3	chr4	186422851	186456766
SORBS2	chr4	186506598	186877806
CYP4V2	chr4	187112674	187134610
FAT1	chr4	187508937	187647876
FRG1	chr4	190861943	190884359
SDHA	chr5	218356	256815
PDCD6	chr5	271736	353971
EXOC3	chr5	443273	472052
BRD9	chr5	850406	892939
CLPTM1L	chr5	1317859	1345214
LPCAT1	chr5	1456595	1524092
MRPL36	chr5	1798500	1801480
NDUFS6	chr5	1801514	1816719
IRX2	chr5	2745959	2752969
KIAA0947	chr5	5420777	5490347
MED10	chr5	6371994	6378707
NSUN2	chr5	6599352	6633404
MIR4458HG	chr5	8450856	8463208
SEMA5A	chr5	9035138	9546187
CCT5	chr5	10250033	10266524
CMBL	chr5	10275987	10308138
MARCH6	chr5	10353815	10440500
DAP	chr5	10679342	10761384
CTNND2	chr5	10971952	11904155
TRIO	chr5	14143811	14532235
FAM105A	chr5	14581884	14615116
ANKH	chr5	14704910	14871887
FBXL7	chr5	15500305	15939900
ZNF622	chr5	16451628	16465901
FAM134B	chr5	16473147	16617167
MYO10	chr5	16665395	16936372
BASP1	chr5	17065707	17276943
DROSHA	chr5	31400604	31532303
PDZD2	chr5	31639517	32111037
GOLPH3	chr5	32124810	32174456
ZFR	chr5	32354456	32444867
SUB1	chr5	32531739	32604185
TARS	chr5	33440802	33469644
BRIX1	chr5	34915481	34926101
DNAJC21	chr5	34929698	34959069
IL7R	chr5	35852797	35879705
LMBRD2	chr5	36098514	36152063
SLC1A3	chr5	36606457	36688436
NIPBL	chr5	36876861	37066515
C5orf42	chr5	37106330	37249530
WDR70	chr5	37379314	37753537
LIFR	chr5	38475065	38608456
OSMR	chr5	38845960	38945698
RICTOR	chr5	38938021	39074510
FYB	chr5	39105338	39274630
DAB2	chr5	39371780	39462402
PTGER4	chr5	40679600	40693837
PRKAA1	chr5	40759481	40798476
RPL37	chr5	40825364	40835437
OXCT1	chr5	41730167	41870621
C5orf51	chr5	41904290	41921738
FBXO4	chr5	41925356	41941845
SEPP1	chr5	42799982	42887494
ZNF131	chr5	43065278	43192123
HMGCS1	chr5	43289497	43313614
PAIP1	chr5	43526369	43557860
NNT-AS1	chr5	43571696	43603332
NNT	chr5	43602794	43707507
MRPS30	chr5	44809027	44820530
EMB	chr5	49692026	49739082
PARP8	chr5	49961733	50142356
MOCS2	chr5	52391509	52405893
NDUFS4	chr5	52856463	52979168
SNX18	chr5	53813589	53842415
GZMK	chr5	54320081	54330398
GZMA	chr5	54398476	54406080
DHX29	chr5	54552073	54603550
SKIV2L2	chr5	54603588	54721409
IL6ST	chr5	55230923	55290821
MAP3K1	chr5	56111401	56191979
GPBP1	chr5	56469775	56560506
PLK2	chr5	57749809	57756087
GAPT	chr5	57787262	57792917
PDE4D	chr5	58264865	59817947
NDUFAF2	chr5	60240956	60448853
SMIM15	chr5	60453536	60458301
ZSWIM6	chr5	60628100	60841997
KIF2A	chr5	61601989	61833076
DIMT1	chr5	61683081	61699766
RNF180	chr5	63461671	63668696
SREK1IP1	chr5	64013971	64064512
CWC27	chr5	64064757	64314590
ADAMTS6	chr5	64444563	64777747
PPWD1	chr5	64859063	64883376
TRIM23	chr5	64885507	64921802
SGTB	chr5	64961755	65018862
NLN	chr5	65018023	65167553
ERBB2IP	chr5	65222303	65378377
SREK1	chr5	65435799	65479443
PIK3R1	chr5	67511548	67597649
SLC30A5	chr5	68389473	68426896
CCNB1	chr5	68462837	68474072
MRPS36	chr5	68513587	68525956
TAF9	chr5	68646811	68665840
NAIP	chr5	70264310	70320941
BDP1	chr5	70751442	70863649
MCCC2	chr5	70883115	70954531
MAP1B	chr5	71403061	71505395
MRPS27	chr5	71515236	71616473
TNPO1	chr5	72112139	72212560
FCHO2	chr5	72251808	72386349
BTF3	chr5	72794233	72801460
ANKRA2	chr5	72848160	72861511
HEXB	chr5	73935848	74018472
NSA2	chr5	74062817	74072737
HMGCR	chr5	74632154	74657929
COL4A3BP	chr5	74664311	74807963
POLK	chr5	74807581	74896969
IQGAP2	chr5	75699074	76003957
F2R	chr5	76011868	76031606
AGGF1	chr5	76325076	76361059
ZBED3	chr5	76367897	76383148
PDE8B	chr5	76506274	76725632
WDR41	chr5	76721795	76916436
TBCA	chr5	76986991	77164604
AP3B1	chr5	77296349	77590579
SCAMP1	chr5	77656339	77776562
LHFPL2	chr5	77781038	78065844
JMY	chr5	78532012	78623038
HOMER1	chr5	78668459	78810040
PAPD4	chr5	78907943	78982471
THBS4	chr5	79287134	79379110
SERINC5	chr5	79407050	79551898
ZFYVE16	chr5	79703832	79775169
DHFR	chr5	79922047	79950802
MTRNR2L2	chr5	79945819	79946855
MSH3	chr5	79950467	80172279
ZCCHC9	chr5	80597409	80609116
SSBP2	chr5	80708840	81047616
ATG10	chr5	81267844	81572676
RPS23	chr5	81569177	81574396
TMEM167A	chr5	82348665	82373682
XRCC4	chr5	82373317	82649606
VCAN	chr5	82767284	82878122
HAPLN1	chr5	82933624	83017432
EDIL3	chr5	83236373	83680611
COX7C	chr5	85913721	85916779
RASA1	chr5	86563705	86687748
CCNH	chr5	86687311	86708836
TMEM161B-AS1	chr5	87564712	87732502
LINC00461	chr5	87803363	87986858
MEF2C	chr5	88013975	88199922
CETN3	chr5	89688078	89705603
LYSMD3	chr5	89811428	89825401
GPR98	chr5	89825161	90460038
ARRDC3	chr5	90664541	90679176
NR2F1	chr5	92919043	92930321
FAM172A	chr5	92953775	93447404
TTC37	chr5	94799599	94890711
RHOBTB3	chr5	95049226	95160087
GLRX	chr5	95087023	95158709
ELL2	chr5	95220802	95297775
CAST	chr5	95860971	96115299
ERAP1	chr5	96096521	96143803
ERAP2	chr5	96211643	96255420
LNPEP	chr5	96271098	96373219
RGMB	chr5	98104354	98134347
CHD1	chr5	98190908	98262240
FAM174A	chr5	99871009	99922445
ST8SIA4	chr5	100142639	100238970
PAM	chr5	102089685	102366809
PPIP5K2	chr5	102455853	102548500
FBXL17	chr5	107194736	107717799
FER	chr5	108083523	108532542
PJA2	chr5	108670410	108745695
MAN2A1	chr5	109025067	109205326
SLC25A46	chr5	110073837	110100857
WDR36	chr5	110427414	110466200
NREP	chr5	110998318	111333161
EPB41L4A-AS1	chr5	111496223	111499973
APC	chr5	112043195	112181936
SRP19	chr5	112196919	112205485
REEP5	chr5	112212084	112258236
DCP2	chr5	112312399	112356667
YTHDC2	chr5	112849380	112930982
PGGT1B	chr5	114546527	114598569
CCDC112	chr5	114602885	114632528
FEM1C	chr5	114856608	114880591
TMED7	chr5	114949205	114968689
ATG12	chr5	115163893	115177555
AP3S1	chr5	115177178	115249778
COMMD10	chr5	115420688	115748459
SEMA6A	chr5	115779312	115910630
DMXL1	chr5	118373467	118584833
TNFAIP8	chr5	118604387	118735383
HSD17B4	chr5	118788138	118972894
SRFBP1	chr5	121297656	121411265
SNX2	chr5	122110691	122165803
PPIC	chr5	122358945	122372436
CSNK1G3	chr5	122847793	122952739
ZNF608	chr5	123972608	124084500
GRAMD3	chr5	125695824	125832186
ALDH7A1	chr5	125877533	125931110
PHAX	chr5	125935960	125962944
LMNB1	chr5	126112315	126172712
MARCH3	chr5	126203406	126366500
